name;calories;proteins;carbs;fat;calcium;iron;vitamin_c
Bouillon de boeuf, déshydraté reconstitué;6.14;0.85;0.36;0.15;5.5;0.17;0.0
Soupe aux asperges, déshydratée reconstituée;37.4;0.79;5.38;1.34;0.0;0.0;0.0
Soupe à la tomate et aux vermicelles, préemballée à réchauffer;38.0;1.2;6.09;0.77;0.0;0.0;20.0
Soupe aux céréales et aux légumes, déshydratée reconstituée;47.8;1.4;6.8;1.4;12.5;0.29;3.84
Soupe à la tomate, déshydratée reconstituée;39.6;0.98;6.45;0.98;11.0;0.14;0.0
Soupe aux champignons, déshydratée reconstituée;37.7;0.66;4.86;1.67;10.0;0.02;0.0
Soupe à l'oignon, déshydratée reconstituée;19.4;0.5;3.36;0.38;20.0;0.0;0.0
Soupe au potiron, préemballée à réchauffer;36.2;0.66;4.48;1.51;15.0;0.14;0.0
Bouillon de volaille, déshydraté reconstitué;7.19;1.23;0.28;0.13;5.0;0.05;0.0
Bouillon de légumes, déshydraté reconstitué;4.78;0.34;0.51;0.16;1.0;0.1;0.0
Soupe à la tomate et aux vermicelles, déshydratée reconstituée;27.7;0.8;5.36;0.29;9.1;0.18;0.0
Soupe à la volaille et aux vermicelles, déshydratée reconstituée;21.2;0.78;3.85;0.24;7.2;0.1;0.0
Soupe au pistou, préemballée à réchauffer;52.6;1.88;3.94;2.8;0.0;0.0;0.0
Soupe au potiron, déshydratée reconstituée;36.1;0.72;4.95;1.32;0.0;0.0;0.0
Soupe asiatique, avec pâtes, préemballée à réchauffer;33.5;1.3;4.06;1.23;0.0;0.0;0.0
Soupe minestrone, déshydratée reconstituée;32.4;1.11;5.56;0.44;0.0;0.0;5.0
Soupe au cresson, déshydratée reconstituée;25.1;0.42;3.95;0.8;0.0;0.0;0.0
Soupe au cresson, préemballée à réchauffer;34.0;1.0;5.4;0.8;0.0;0.0;0.0
Soupe aux légumes avec fromage, préemballée à réchauffer;46.3;1.26;4.77;2.26;0.0;0.0;11.0
Soupe aux légumes verts, préemballée à réchauffer;35.0;1.13;3.96;1.38;24.0;0.27;9.0
Soupe aux légumes verts, déshydratée reconstituée;32.0;0.63;4.84;1.05;12.0;0.11;6.0
Soupe aux pois cassés, préemballée à réchauffer;48.8;2.47;5.69;1.47;0.0;0.0;0.0
Soupe froide type gaspacho ou gazpacho, préemballée;40.2;0.81;3.21;2.33;11.0;0.11;1.98
Soupe aux asperges, préemballée à réchauffer;57.6;1.54;3.8;3.8;0.0;0.0;0.0
Soupe (aliment moyen);39.5;1.42;4.81;1.42;28.7;0.27;5.42
Soupe miso, déshydratée reconstituée;16.5;1.24;2.37;0.34;18.0;0.19;0.0
Soupe aux légumes et aux vermicelles, déshydratée reconstituée;35.6;0.8;6.19;0.77;0.0;0.0;0.0
Soupe aux légumes et aux vermicelles, préemballée à réchauffer;37.0;1.07;5.4;1.01;0.0;0.0;0.0
Soupe au boeuf et aux vermicelles, déshydratée reconstituée;22.6;0.87;4.29;0.15;0.0;0.0;0.0
Soupe asiatique, avec poulet et pâtes, préemballée à réchauffer;67.6;3.96;6.3;2.75;0.0;0.0;0.0
Nuggets ou croquette panée de poulet (contenant du soja), préemballé;220.0;13.4;16.7;10.3;23.6;0.84;3.22
Tripes à la mode de Caen (estomac et pied de boeuf, carottes…), préemballées;120.0;20.4;0.5;3.68;23.3;1.1;0.0
Tripes à la tomate ou à la provençale, préemballées;100.0;17.5;0.55;3.13;0.0;0.0;0.0
Blanquette de veau, préemballée;113.0;15.4;3.1;4.0;15.0;0.92;0.0
Boeuf bourguignon, préemballé;84.3;10.3;4.17;2.61;16.9;1.75;0.8
Sauté d'agneau au curry, préemballé;0.0;10.5;0.0;13.9;17.5;2.15;0.0
Canard en sauce (poivre vert, chasseur, etc.), préemballé;145.0;9.55;10.2;7.3;0.0;0.0;0.0
Lapin à la moutarde, préemballé;108.0;14.9;0.5;5.0;0.0;0.0;0.0
Cordon bleu de volaille, préemballé;226.0;14.0;14.6;12.2;60.6;0.68;0.0
Coq au vin;133.0;13.0;4.0;7.0;14.0;1.3;1.5
Paupiette de veau;181.0;14.6;4.67;11.3;27.6;1.0;1.34
Paupiette de volaille;163.0;17.4;8.8;6.19;27.6;1.03;1.33
Boulettes au boeuf, cuites;217.0;18.5;5.65;13.3;29.0;2.2;6.94
Viande en sauce (aliment moyen);109.0;11.7;4.23;4.7;16.1;1.06;1.06
Escalope panée, viennoise ou milanaise, veau, cuite;271.0;22.9;12.6;14.1;28.7;1.11;0.0063
Poulet au curry et au lait de coco, préemballé;125.0;10.6;4.07;6.9;18.0;0.51;2.51
Boulettes au porc et au boeuf (à la suédoise), préemballées, crues;254.0;17.4;4.8;18.2;0.0;0.0;0.0
Boulettes au boeuf et à l'agneau (type kefta), préemballées, crues;220.0;14.9;9.7;13.3;0.0;0.0;0.0
Palette à la diable, préemballée;102.0;13.0;1.0;4.5;0.0;1.0;0.0
Langue de boeuf sauce madère, préemballée;180.0;9.5;4.5;13.5;0.0;0.0;0.0
Porc au caramel, préemballé;136.0;10.0;11.4;5.4;9.9;0.49;0.0
Boulettes au boeuf, à la sauce tomate, préemballées;117.0;9.0;5.5;6.5;0.0;0.0;0.0
Paupiette de veau, préemballée, rôtie/cuite au four;276.0;22.0;0.48;20.5;24.0;0.94;1.62
Boulettes au boeuf et à l'agneau (type kefta), préemballées, cuites;235.0;15.7;7.5;15.7;24.0;2.4;0.0
Boulettes au porc et au boeuf (à la suédoise), préemballées, cuites;258.0;14.4;7.7;18.6;12.0;1.2;0.0
Brochette de volaille, crue;0.0;18.0;0.8;0.0;0.0;0.0;0.0
Brochette de boeuf, crue;0.0;20.0;0.0;0.0;0.0;0.0;0.0
Brochette mixte de viande;208.0;19.7;1.02;13.8;10.9;1.4;9.46
Nuggets ou croquette panée de volaille, préemballé;247.0;13.1;18.0;13.2;16.4;0.6;0.0
Carpaccio de boeuf, avec marinade (huile, herbes, fromage), fait maison;271.0;15.2;0.55;23.0;112.0;1.84;5.87
Brochette d'agneau;137.0;13.2;2.54;7.93;15.8;1.34;11.7
Yakitori (brochettes japonaises grillées en sauce);172.0;26.0;9.3;3.3;9.8;0.61;0.0
Brochette de porc, crue;131.0;15.6;2.1;6.5;0.0;0.0;0.0
Brochette de boeuf, cuite;136.0;21.9;0.33;5.2;23.0;2.4;10.8
Brochette de volaille, cuite;134.0;23.1;1.39;4.0;13.0;0.61;8.49
Nuggets ou croquette panée de poulet, préemballé;250.0;15.6;19.4;11.6;25.0;1.0;0.0
Poulet, manchons marinés, préemballés, rôtis/cuits au four;213.0;22.4;2.1;12.6;34.1;1.1;1.4
Escalope panée, viennoise ou milanaise, poulet, cuite;339.0;7.25;21.7;24.0;22.0;1.6;0.0
Escalope panée, viennoise ou milanaise, dinde, cuite;211.0;14.1;13.5;10.9;0.0;0.0;0.0
Hachis parmentier à la viande, préemballé;138.0;5.99;9.39;8.22;59.6;0.71;0.65
Couscous au mouton;149.0;8.31;12.2;7.2;31.6;1.24;5.0
Couscous à la viande ou au poulet, allégé en matière grasse, préemballé,;90.7;5.9;11.5;1.9;22.0;0.78;7.0
Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée;171.0;3.2;17.0;9.6;26.0;0.49;3.04
Couscous royal (avec plusieurs viandes), préemballé;132.0;7.69;14.0;4.53;25.2;0.93;1.69
