name;calories;proteins;carbs;fat;calcium;iron;vitamin_c
Chou frisé, cuit;29.7;1.9;3.63;0.4;72.0;0.9;41.0
Chou chinois pé-tsaï, sauté/poêlé;18.9;1.06;2.77;0.0;54.0;0.28;11.4
Cardon, cuit;22.0;0.76;3.63;0.11;72.0;0.73;1.7
Tomate, chair et peau, bouillie/cuite à l'eau;17.4;0.95;2.8;0.11;11.0;0.68;22.8
Pois mange-tout ou pois gourmands, cuits;47.3;3.5;5.92;0.38;59.0;2.4;22.0
Échalote, cuite;69.3;2.13;13.5;0.0;28.0;0.34;2.25
Haricots verts, purée;56.3;1.7;4.2;2.9;0.0;0.0;0.0
Légumes (3-4 sortes en mélange), purée;61.2;1.94;4.25;3.4;47.0;0.67;0.0
Brocoli, purée;29.0;2.5;2.75;0.38;87.0;0.9;0.0
Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%);45.5;2.05;7.57;0.2;0.0;0.0;0.0
Carotte, purée;30.1;0.88;5.06;0.0;30.0;0.32;0.0
Courgette, purée;57.3;2.8;6.5;1.9;0.0;0.0;0.0
Tomate, double concentré, appertisé;99.5;3.75;19.3;0.47;0.0;0.0;0.0
Macédoine de légumes, précuite, à finir de cuire, surgelée;62.4;4.0;7.5;0.5;0.0;0.0;0.0
Poivron rouge, appertisé, égoutté;26.3;0.96;4.5;0.2;9.0;0.46;171.0
Asperge blanche, bouillie/cuite à l'eau;17.3;1.44;1.63;0.3;15.0;0.26;5.16
Céleri-rave, purée;26.2;1.37;2.83;0.18;50.0;0.5;8.3
Petits pois, purée;86.0;4.8;8.0;2.8;0.0;0.0;0.0
Tomate, chair et peau, rôtie/cuite au four;24.0;1.0;3.53;0.4;12.0;0.22;14.9
Chou romanesco ou brocoli à pomme, cuit;34.5;3.0;2.03;0.8;32.0;0.53;15.1
Potimarron, chair sans peau, cuit à l'étouffée;44.2;1.31;7.05;0.5;18.0;0.24;10.9
Courge butternut (doubeurre), chair sans peau, cuite;28.9;1.06;5.24;0.0;17.0;0.15;2.28
Carotte, purée cuisinée à la crème, préemballée;43.7;1.44;4.57;1.6;30.0;0.19;0.0
Asperge verte, bouillie/cuite à l'eau;25.3;2.69;1.73;0.3;21.0;0.64;4.73
Aubergine, chair et peau, rôtie/cuite au four;31.1;1.31;3.83;0.0;13.0;0.59;0.0
Bette ou blette, côte et feuille, bouillie/cuite à l'eau;15.6;0.88;1.43;0.3;60.0;0.52;0.0
Brocoli, bouilli/cuit à l'eau, croquant;22.2;2.5;1.23;0.4;42.0;0.41;22.7
Brocoli, bouilli/cuit à l'eau, fondant;21.8;2.19;1.03;0.5;43.0;0.33;18.1
Brocoli, cuit à la vapeur;38.0;4.13;2.53;0.7;36.0;0.58;20.7
Carotte, bouillie/cuite à l'eau, croquante;33.1;0.75;6.33;0.0;27.0;0.19;1.71
Carotte, bouillie/cuite à l'eau, fondante;29.6;0.25;5.73;0.0;28.0;0.19;0.52
Carotte, cuite à la vapeur;40.3;0.63;7.33;0.3;26.0;0.22;1.28
Chou blanc, bouilli/cuit à l'eau;20.8;1.0;3.23;0.0;42.0;0.19;13.3
Chou de Bruxelles, bouilli/cuit à l'eau;44.4;3.19;5.4;0.0;35.0;0.51;55.4
Chou rouge, cuit à l'étouffée;33.9;1.19;5.7;0.0;44.0;0.29;26.2
Chou vert, bouilli/cuit à l'eau;19.0;1.63;1.83;0.0;48.0;0.34;12.0
Chou-fleur, cuit à la vapeur;30.5;2.56;3.41;0.3;26.0;0.38;21.4
Courgette, chair et peau, rôtie/cuite au four;20.3;1.5;3.13;0.0;24.0;0.4;0.0
Céleri branche, cuit à l'étouffée;14.7;0.75;2.48;0.0;31.0;0.12;0.0
Céleri rave, bouilli/cuit à l'eau;26.2;0.94;4.32;0.3;41.0;0.27;0.87
Endive, rôtie/cuite au four;22.0;1.13;4.38;0.0;27.0;0.23;0.0
Fenouil, cuit à l'étouffée;11.8;0.25;1.94;0.0;37.0;0.12;0.0
Haricot beurre, bouilli/cuit à l'eau;35.0;2.19;4.45;0.3;56.0;0.99;7.57
Haricot vert, bouilli/cuit à l'eau;27.0;1.75;3.39;0.0;51.0;0.54;1.16
Navet, bouilli/cuit à l'eau;18.4;0.75;3.23;0.0;32.0;0.08;7.25
Oignon blanc ou jaune, sauté/poêlé sans matière grasse;39.2;1.56;6.73;0.0;32.0;0.24;2.31
Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse;28.0;1.13;3.56;0.3;55.0;0.85;7.38
Oignon rouge, sauté/poêlé;41.5;1.69;7.55;0.0;26.0;0.26;5.68
Panais, cuit à l'étouffée;91.2;1.94;16.6;0.5;44.0;0.37;7.92
Petits pois, bouillis/cuits à l'eau;80.7;6.38;9.93;0.6;38.0;1.2;11.4
Poireau, bouilli/cuit à l'eau;24.7;2.56;2.23;0.0;35.0;0.45;3.79
Poivron jaune, sauté/poêlé;34.5;1.0;5.33;0.6;7.3;0.23;126.0
Poivron rouge, sauté/poêlé;33.0;0.94;6.53;0.0;7.0;0.27;144.0
Poivron vert, sauté/poêlé;27.3;1.25;3.53;0.3;6.7;0.21;64.6
Potimarron, chair sans peau, bouilli/cuit à l'eau;38.6;1.06;6.88;0.3;18.0;0.19;8.65
Potiron, rôti/cuit au four;28.2;0.25;5.66;0.0;31.0;0.11;0.0
Salsifis, bouilli/cuit à l'eau;56.9;2.63;9.29;0.0;38.0;0.56;0.74
Échalote, sautée/poêlée sans matière grasse;67.3;2.0;12.3;0.4;22.0;0.25;0.84
Épinard, bouilli/cuit à l'eau;26.8;3.38;0.0;0.7;240.0;1.3;0.0
Chou chinois pak choï ou pak choy (feuilles vertes ressemblant à des blettes), cuit;12.8;1.56;0.78;0.16;93.0;1.04;26.0
Asperge, bouillie/cuite à l'eau (aliment moyen);20.7;1.97;1.67;0.3;17.6;0.42;4.98
Brocoli, bouilli/cuit à l'eau (aliment moyen);21.8;2.19;1.03;0.5;43.0;0.33;18.1
Brocoli, cuit (aliment moyen);30.0;3.17;1.79;0.6;39.4;0.46;19.4
Carotte, bouillie/cuite à l'eau (aliment moyen);29.6;0.25;5.73;0.0;28.0;0.19;0.52
Carotte, cuite (aliment moyen);33.0;0.37;6.24;0.2;27.4;0.2;0.76
Céleri branche, cuit (aliment moyen);13.1;0.63;1.38;0.15;29.2;0.0;0.0
Chou rouge, cuit (aliment moyen);31.8;1.26;5.13;0.14;46.5;0.38;28.2
Fenouil, cuit (aliment moyen);11.8;0.36;1.8;0.0;37.8;0.13;0.42
Potimarron, chair sans peau, cuit (aliment moyen);38.6;1.06;6.88;0.3;18.0;0.19;8.65
Tomate, chair et peau, cuite (aliment moyen);19.8;0.97;3.06;0.21;11.4;0.51;20.0
Légumes pour couscous, cuits;29.6;1.58;3.87;0.42;39.0;0.7;18.0
Légume cuit (aliment moyen);28.7;1.68;3.67;0.3;36.9;0.54;8.35
Crosne, cuit;49.0;2.13;9.11;0.0;20.0;0.37;0.0
Gombo, fruit, cuit;22.4;1.87;2.01;0.21;77.0;0.28;16.3
Carotte, déshydratée;317.0;8.1;56.0;1.49;212.0;3.93;14.6
Oignon, séché;355.0;8.95;74.1;0.46;257.0;1.55;33.0
Tomate, séchée;0.0;14.1;43.5;2.97;110.0;9.09;39.2
Champignon noir, séché;0.0;7.5;0.0;0.075;0.0;0.0;0.0
Champignon, lentin comestible ou shiitaké, séché;316.0;9.58;63.9;0.99;11.0;1.72;3.5
Tomate, séchée, à l'huile;0.0;5.06;7.98;13.2;47.0;2.68;0.0
Banane jaune, chair sans peau, cuite à la vapeur, prélevée à la Martinique;0.0;1.06;0.0;0.057;0.0;0.0;6.07
Chips de chair de giraumon (variété locale), prélevé à la Martinique;0.0;0.0;12.3;0.0;0.0;0.0;0.0
Chips de chair de giraumon (variété phoenix), prélevé à la Martinique;0.0;0.0;13.9;0.0;0.0;0.0;0.0
Chou dur ou chou caraïbe ou macabo, pulpe, cuit à la vapeur, prélevé à la Martinique;0.0;3.25;0.0;0.0033;0.0;0.0;19.3
Chayote ou christophine ou chouchou à peau blanche, chair sans peau, sans noyau, cuite à la vapeur, prélevée à la Martinique;0.0;1.21;5.93;0.033;0.0;0.0;7.4
Chayote ou christophine ou chouchou à peau verte, chair sans peau, sans noyau, cuite à la vapeur, prélevée à la Martinique;0.0;1.23;4.6;0.023;0.0;0.0;12.5
Chayote ou christophine ou chouchou à peau blanche, chaire sans peau, sans noyau, appertisée, non égouttée, prélevée à la Martinique;0.0;0.0;0.0;0.0;0.0;0.0;0.23
Chayote ou christophine ou chouchou, chair et peau, sans noyau, cuite à la vapeur, surgelée, prélevée à la Martinique;0.0;0.0;0.0;0.0;0.0;0.0;6.1
Concombre, chair sans peau, avec pépins, cru, prélevé à la Martinique;0.0;0.73;0.0;0.58;0.0;0.0;0.1
Concombre, chair et peau, cru, prélevé à la Martinique;0.0;0.42;0.0;0.27;0.0;0.0;0.3
Cresson, feuille, cru, prélevé à la Martinique;0.0;2.25;0.0;0.1;0.059;1.31;2.67
Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique;0.0;1.15;0.0;0.3;0.0;0.0;4.07
Farine de pulpe de patate douce, prélevée à la Martinique;223.0;0.0;50.1;0.0;0.0;0.0;0.0
Fruit à pain, chair sans peau, cuit à la vapeur, prélevé à la Martinique;0.0;1.29;21.0;0.11;0.0;0.0;8.17
Giraumon (variété locale), chair sans peau, cuit à la vapeur, prélevé à la Martinique;0.0;1.1;4.51;0.097;0.0;0.0;0.0
Giraumon (variété locale), chair sans peau, cuit à la vapeur, surgelé, prélevé à la Martinique;0.0;0.0;3.75;0.0;0.0;0.0;0.0
Giraumon (variété locale), chair sans peau, râpé, cru, prélevé à la Martinique;0.0;0.0;2.42;0.0;0.0;0.0;0.0
Giraumon (variété phoenix), chair sans peau, cuit à la vapeur, prélevé à la Martinique;0.0;1.03;5.62;0.05;0.0;0.0;0.0
Giraumon (variété phoenix), chair sans peau, râpé, cru, prélevé à la Martinique;0.0;0.0;3.51;0.0;0.0;0.0;0.0
Giraumon (variété phoenix), chair sans peau, surgelé, cuit à la vapeur, prélevé à la Martinique;0.0;0.0;4.37;0.0;0.0;0.0;0.0
Gombo, entier, appertisé, non égoutté, prélevé à la Martinique;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Gombo, entier, cuit à la vapeur, prélevé à la Martinique;0.0;1.8;4.69;0.3;0.0;0.0;3.0
Gombo, sans pédoncule, blanchi, surgelé, prélevé à la Martinique;0.0;0.24;5.28;0.1;0.0;0.0;0.0
Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique;88.9;1.65;17.9;0.3;0.0;0.0;0.87
Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique;127.0;2.04;27.6;0.37;0.0;0.0;0.81
Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique;93.3;2.25;18.4;0.3;0.0;0.0;22.0
Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique;0.0;1.23;0.0;0.18;0.0;0.0;9.57
Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique;0.0;0.6;0.0;0.0;0.0;0.0;21.3
Massissi, chair, cru, prélevé à la Martinique;0.0;2.58;0.0;0.8;0.0;0.0;73.2
Papaye verte, chair sans peau, crue, prélevée à la Martinique;0.0;0.67;0.0;0.0033;0.0;0.0;39.3
Papaye verte, chair sans peau, cuite à la vapeur, prélevée à la Martinique;0.0;0.63;0.0;0.0;0.0;0.0;25.7
Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique;0.0;0.0;0.0;0.0;0.0;0.0;4.0
Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique;126.0;1.48;25.2;0.067;0.0;0.0;12.5
Pois d'Angole, entier, cuit à la vapeur, prélevé à la Martinique;0.0;16.3;11.1;0.74;0.0;0.0;0.0
Ti nain, chair sans peau, cuit à la vapeur, prélevé à la Martinique;0.0;1.13;0.0;0.05;0.0;0.0;9.23
Tomate, entière, crue, prélevée à la Martinique;0.0;1.06;0.0;0.06;0.0;0.0;15.2
Fruit à pain, cru;0.0;1.07;22.2;0.23;17.0;0.54;29.0
Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis);16.4;1.69;1.7;0.0;88.0;0.93;9.54
Chayote ou christophine ou chouchou, chair sans peau, sans noyau, cuite à la vapeur, prélevée à La Réunion (Sechium edule);20.9;0.63;3.5;0.0;14.0;0.46;0.0
Tapioca ou perles du Japon, cru;354.0;0.19;87.8;0.02;20.0;1.58;0.0
Pomme de terre, sans peau, rôtie/cuite au four;91.9;1.96;20.1;0.1;9.48;0.35;12.8
Pomme de terre, bouillie/cuite à l'eau;81.0;1.8;16.8;0.34;5.83;0.27;2.92
Chips de pommes de terre nature ou aromatisées;532.0;6.0;51.0;32.7;27.0;1.2;8.26
Pomme de terre nouvelle ou primeur, bouillie/cuite à l'eau;71.6;1.44;15.0;0.3;13.0;1.6;15.0
Pomme de terre, sans peau, crue;80.0;2.02;16.2;0.09;14.3;0.78;19.7
Pomme de terre, appertisée, égouttée;57.2;1.58;10.7;0.41;25.4;1.26;5.1
Pomme de terre noisette, surgelée, à cuire;179.0;2.44;25.3;7.02;25.2;1.0;10.5
Pomme de terre vapeur, sous vide;76.0;1.84;15.8;0.25;0.0;0.0;14.7
Pomme de terre poêlée, avec matière grasse;137.0;2.5;17.3;5.7;18.0;0.73;1.97
Flocons de pomme de terre, au lait ou à la crème, déshydratés;376.0;10.0;71.0;3.97;73.0;2.03;22.3
Purée de pomme de terre, à base de flocons, reconstituée avec lait entier et matière grasse;107.0;1.92;12.6;5.18;38.7;0.19;8.63
Purée de pomme de terre, avec lait et beurre, sans sel ajouté;94.8;1.87;15.7;2.4;31.1;0.21;6.1
Purée de pomme de terre, à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée;68.5;2.63;12.4;0.53;36.5;0.39;3.2
Pomme de terre dauphine, surgelée, à cuire;242.0;4.25;19.7;15.7;22.2;0.99;0.0
Pomme de terre dauphine, surgelée, cuite;302.0;4.5;30.2;17.7;120.0;0.8;0.0
Flocons de pomme de terre, nature, déshydratés;346.0;8.0;73.5;0.41;27.0;1.21;31.0
Pomme de terre nouvelle ou primeur, crue;76.4;1.94;15.8;0.3;10.0;0.6;25.0
Potatoes ou wedges ou quartiers de pommes de terre épicés, surgelées, cuites;175.0;3.25;25.3;5.8;17.0;0.7;1.08
Pomme de terre, rôtie/cuite au four;91.4;2.5;19.0;0.13;15.0;1.08;9.6
Pomme de terre sautée/poêlée/rissolée, préfrite, surgelée, cuite;156.0;2.81;23.0;4.8;11.0;0.63;1.25
Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau;72.6;1.81;15.4;0.0;6.5;0.31;3.78
Pomme de terre nouvelle ou primeur, bouillie/cuite à l'eau, sans peau;71.1;1.84;14.9;0.0;0.0;0.7;18.9
Frites de pommes de terre, surgelées, rôties/cuites au four;213.0;3.75;32.6;6.6;11.0;0.67;2.38
Frites de pommes de terre, surgelées, cuites en friteuse;258.0;3.28;32.7;11.9;23.8;0.9;19.0
Pomme de terre duchesse, surgelée, cuite;218.0;3.44;29.6;8.5;51.0;0.81;0.0
Pomme de terre noisette, surgelée, cuite;191.0;2.81;28.4;6.6;27.0;0.61;0.0
Pomme de terre sautée/poêlée/rissolée à la graisse de canard;200.0;2.44;20.8;11.4;0.0;0.0;0.0
Chips de pommes de terre nature ou aromatisées, à l'ancienne;551.0;5.62;46.7;36.9;21.0;0.98;5.07
Chips de pommes de terre nature ou aromatisées, allégées en matière grasse (et assimilés );481.0;6.57;61.4;22.1;56.0;1.2;0.0
Rostis ou galette de pomme de terre;182.0;2.38;22.5;8.3;18.0;0.55;0.0
Purée de pomme de terre, avec lait et beurre, salée;117.0;1.96;11.3;6.7;0.0;0.0;0.0
Pomme de terre duchesse, surgelée, à cuire;157.0;2.41;21.4;6.26;0.0;0.0;0.0
Pomme de terre sautée/poêlée/rissolée, préfrite, surgelée, à cuire;137.0;2.35;20.4;4.5;0.0;0.0;6.0
Frites de pommes de terre, surgelées, préfrites, pour cuisson au four;142.0;2.38;21.0;4.73;0.0;0.0;0.0
Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-onde;223.0;3.26;27.2;10.2;0.0;0.0;0.0
Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse;244.0;3.12;29.1;12.1;20.0;1.8;6.0
Purée de pomme de terre (aliment moyen);96.8;2.1;13.0;3.7;35.4;0.26;5.98
Pomme de terre, cuite (aliment moyen);94.9;2.05;17.2;1.58;9.38;0.44;3.92
Croquette de pomme de terre, surgelée, à cuire;164.0;2.52;22.4;6.59;0.0;0.0;0.0
Chips de pommes de terre nature ou aromatisées, sans sel ajouté;503.0;6.2;47.6;30.8;0.0;0.0;0.0
Poêlée de pommes de terre à la sarladaise (graisse de canard, ail et persil), surgelée, à cuire;203.0;2.27;20.9;11.6;0.0;0.0;0.0
Potatoes ou wedges ou quartiers de pommes de terre épicés, surgelées, à cuire;141.0;2.48;20.3;5.0;0.0;0.0;0.0
Pomme de terre grenaille, préfrite, surgelée, à cuire;133.0;2.4;17.9;5.3;0.0;0.0;0.0
Patate douce, crue;81.2;1.57;17.1;0.05;30.0;0.61;2.4
Patate douce, cuite;79.1;1.69;16.3;0.15;32.5;0.71;16.2
Patate douce, purée, cuisinée à la crème;79.8;1.1;12.1;2.0;0.0;0.0;0.0
Topinambour, cuit;69.3;1.8;14.4;0.01;32.9;0.2;3.2
Topinambour, cru;74.7;2.0;15.8;0.01;14.0;3.4;4.0
Banane plantain, cuite;125.0;0.79;28.9;0.18;2.0;0.58;10.9
Taro, tubercule, cru;105.0;1.5;22.4;0.2;43.0;0.55;4.5
Taro, tubercule, cuit;131.0;0.52;29.5;0.11;18.0;0.72;5.0
Igname, pelée, crue;111.0;1.53;23.7;0.17;17.0;0.54;17.1
Igname, épluchée, bouillie/cuite à l'eau;109.0;1.49;23.6;0.14;14.0;0.52;12.1
Igname, crue;111.0;1.25;23.9;0.2;17.0;0.54;0.0
Manioc, racine crue;157.0;1.36;36.3;0.28;16.0;0.27;20.6
Manioc, racine cuite;135.0;0.69;32.8;0.043;12.1;0.6;13.1
Haricot coco, bouilli/cuit à l'eau;130.0;9.63;13.7;0.5;72.0;2.7;1.62
Lentille, bouillie/cuite à l'eau (aliment moyen);125.0;10.1;16.2;0.57;39.3;2.45;0.0
Fève, bouillie/cuite à l'eau;83.3;8.06;9.35;0.8;37.0;1.5;0.0
Haricot blanc, bouilli/cuit à l'eau;112.0;6.75;12.0;1.1;120.0;1.7;0.0
Haricot rouge, bouilli/cuit à l'eau;116.0;9.63;12.3;0.6;55.0;2.3;0.0
Pois cassé, bouilli/cuit à l'eau;129.0;8.6;16.3;1.49;24.7;2.09;0.85
Pois chiche, bouilli/cuit à l'eau;148.0;8.31;17.7;3.0;72.0;1.3;0.0
Haricot flageolet, appertisé, égoutté;92.9;6.1;12.2;0.79;63.1;1.3;0.0
Lentille, cuisinée, appertisée, égouttée;90.4;6.83;12.3;0.64;21.0;1.67;0.0
Haricot blanc, appertisé, égoutté;85.5;5.88;10.9;0.5;70.7;2.99;0.0
Haricot flageolet, bouilli/cuit à l'eau;112.0;6.75;12.0;1.1;120.0;1.7;0.0
Haricot rouge, appertisé, égoutté;108.0;8.31;13.0;0.97;58.0;1.5;0.2
Haricot mungo, frais, bouilli/cuit à l'eau;95.7;7.54;11.9;0.55;53.0;1.75;1.0
Pois chiche, appertisé, égoutté;122.0;6.74;15.0;2.68;41.2;1.15;0.1
Haricot flageolet, vert, bouilli/cuit à l'eau;115.0;8.5;13.0;0.91;115.0;2.2;0.0
Fève, pelée, fraîche, surgelée, bouillie/cuite à l'eau;71.9;6.4;9.0;0.5;31.0;1.3;0.0
Fève, fraîche, surgelée, bouillie/cuite à l'eau;63.6;5.6;7.4;0.0;61.0;0.93;0.0
Lentille verte, bouillie/cuite à l'eau;125.0;10.1;16.2;0.58;39.5;2.45;0.0
Lentille blonde, bouillie/cuite à l'eau;122.0;9.7;16.3;0.7;32.0;2.5;0.0
Lentille corail, bouillie/cuite à l'eau;123.0;10.6;15.0;0.5;21.0;2.2;0.0
Légume sec, cuit (aliment moyen);113.0;8.22;13.8;0.78;68.3;1.96;0.31
Fève à écosser, fraîche, crue;61.5;6.76;4.2;0.67;29.5;1.73;18.4
Pois d'Angole vert, frais, cru;129.0;7.2;18.8;1.64;42.0;1.6;39.0
Haricot de Lima ou pois savon ou pois du Cap ou pois souche, cru;105.0;6.84;15.3;0.86;34.0;3.14;23.4
Haricot flageolet, frais, surgelé, cru;153.0;9.32;25.6;0.52;0.0;0.0;0.0
Fève, pelée, fraîche, surgelée, crue;99.3;9.55;12.2;0.26;0.0;0.0;0.0
Lentille, sèche (aliment moyen);327.0;25.1;44.5;1.8;63.7;6.31;1.61
Haricot blanc, sec;307.0;23.4;43.9;0.85;240.0;10.4;0.0
Pois cassé, sec;347.0;23.8;47.5;1.16;37.0;4.82;1.8
Pois chiche, sec;350.0;20.5;47.5;6.04;57.0;4.31;4.0
Fève, sèche;301.0;26.1;33.3;1.53;103.0;6.7;1.4
Haricot rouge, sec;314.0;22.5;46.1;1.06;83.0;6.69;4.5
Haricot mungo, sec;343.0;25.2;47.6;1.64;138.0;7.57;0.0
Lupin, graine, sec;356.0;36.2;21.5;9.74;176.0;4.36;4.8
Lentille corail, sèche;328.0;27.7;44.9;0.8;29.0;6.3;0.0
Haricot flageolet, vert, sec;315.0;19.1;42.1;2.6;0.0;7.3;0.0
Lentille verte, sèche;327.0;25.1;44.5;1.8;64.0;6.3;1.63
Lentille blonde, sèche;339.0;26.1;48.3;1.9;54.0;7.4;0.0
Abricot, dénoyauté, cru;44.1;0.81;9.01;0.0;15.0;0.19;2.55
Ananas, chair sans peau, cru;51.6;0.25;11.7;0.0;8.0;0.17;46.1
Banane, chair sans peau, crue;87.6;1.06;19.7;0.0;5.1;0.2;7.16
Cassis, cru;70.2;1.4;9.68;0.41;55.0;1.54;181.0
Ceriser, chair et peau, sans noyau, crue;53.7;0.81;13.0;0.0;9.9;0.17;4.09
Citron, chair sans peau, sans pépins, cru;24.3;0.25;1.56;0.0;11.0;0.15;45.0
Coing, cru;59.0;0.4;12.5;0.1;11.0;0.7;15.0
Figue, crue;67.6;1.19;13.5;0.0;57.0;0.27;0.0
Fraise, crue;35.1;0.63;6.03;0.0;18.0;0.19;54.0
Framboise, crue;47.9;1.19;5.83;0.8;16.0;0.4;18.7
Fruit de la passion ou maracudja, chair sans peau, avec pépins, cru;102.0;2.13;10.9;3.0;8.1;0.56;25.6
Grenade, chair sans peau, avec pépins, crue;81.0;1.44;14.3;1.2;9.5;0.17;9.02
Groseille, crue;67.2;1.56;7.06;0.7;38.0;0.35;29.8
Groseille à maquereau, crue;39.4;0.88;4.45;0.58;25.0;0.31;27.7
Kiwi, chair sans peau, avec pépins, cru;60.9;0.88;11.0;0.6;29.0;0.16;81.9
Litchi, chair sans peau, sans noyau, cru;77.5;1.13;16.1;0.0;3.6;0.26;19.2
Clémentine ou mandarine, chair sans peau, sans pépins, crue;45.5;0.81;9.17;0.0;23.0;0.09;49.2
Mangue, chair sans peau, sans noyau, crue;71.1;0.63;14.3;0.0;12.0;0.09;25.0
Melon cantaloup (par ex.: Charentais), chair sans peau, sans pépins, cru;59.8;1.13;14.8;0.0;11.0;0.21;8.14
Prune mirabelle, sans noyau, crue;74.6;0.63;18.0;0.0;11.0;0.13;5.29
Myrtille, crue;57.7;0.87;10.6;0.33;6.0;0.28;9.7
Mûre (de ronce), crue;46.0;1.13;6.53;0.7;31.0;0.4;10.1
Orange, chair sans peau, sans pépins, crue;42.0;0.75;8.03;0.0;66.0;0.57;47.5
Papaye, chair sans peau, crue;39.6;0.75;8.53;0.0;22.0;0.16;65.3
Pastèque, chair sans peau, sans pépins, crue;35.4;0.69;8.33;0.0;6.0;0.16;4.26
Poire, chair et peau, crue;56.6;0.36;12.3;0.27;6.46;0.072;4.3
Pomme, chair et peau, crue;54.0;0.25;11.6;0.25;5.34;0.099;4.6
Pomelo (dit Pamplemousse), chair sans peau, sans pépins, cru;33.5;0.84;5.92;0.0;23.0;0.0;36.4
Prune Reine-Claude, sans noyau, crue;69.0;0.94;16.4;0.0;13.0;0.16;4.16
Pêche, chair et peau, sans noyau, crue;37.9;0.91;7.55;0.25;7.32;0.15;6.6
Raisin blanc, à gros grain (type Italia ou Dattier), cru;71.6;0.75;16.6;0.0;12.0;0.2;1.07
Raisin noir, cru;69.5;0.57;15.6;0.25;8.98;0.3;8.4
Rhubarbe, tige, crue;18.1;0.73;1.12;0.16;140.0;0.26;6.4
Carambole, chair et peau, crue;28.4;1.04;3.83;0.33;3.0;0.08;34.4
Cerise acérola, chair et peau, sans noyau, crue;0.0;0.4;6.59;0.3;12.0;0.2;1680.0
Anone ou chérimole, chair sans peau, crue;80.0;1.57;15.4;0.68;10.0;0.27;12.6
Feijoa, chair sans peau, crue;0.0;0.71;8.2;0.42;17.0;0.14;32.9
Figue de Barbarie, chair et peau, avec pépins, crue;51.5;0.12;9.79;0.11;180.0;0.2;11.0
Kaki, chair et peau, cru;66.0;0.88;14.3;0.0;6.9;0.06;3.41
Citron vert ou lime, chair sans peau, sans pépins, cru;39.3;1.13;3.14;0.0;57.0;0.2;29.3
Mûre noire (du mûrier), crue;0.0;1.44;8.1;0.39;39.0;1.85;36.4
Ramboutan ou rambutan, chair sans peau, sans noyau, crue;0.0;0.65;20.0;0.21;22.0;0.35;4.9
Tamarin, fruit mûr, chair sans peau, avec pépins, cru;0.0;2.8;57.4;0.6;74.0;2.8;3.5
Goyave, chair sans peau, crue;68.3;2.55;9.02;0.95;18.0;0.26;228.0
Pomme Canada, chair sans peau, crue;51.1;0.4;11.6;0.1;3.59;0.14;4.0
Pomme Golden, chair sans peau, crue;50.4;0.25;11.7;0.0;2.8;0.06;1.29
Prune, sans noyau, crue;51.6;0.7;9.92;0.28;6.0;0.17;9.5
Raisin Chasselas, cru;77.8;0.75;16.9;0.5;16.0;0.14;4.14
Griotte, crue;0.0;1.0;10.6;0.3;16.0;0.32;10.0
Canneberge ou cranberry, crue;0.0;0.88;7.6;0.17;14.0;0.63;14.2
Pomme Granny Smith, chair sans peau, crue;51.0;0.25;11.4;0.0;3.2;0.08;2.21
Pomme Granny Smith, chair et peau, crue;48.6;0.25;10.7;0.0;3.2;0.06;2.31
Citron, zeste, cru;0.0;1.5;5.4;0.3;134.0;0.8;129.0
Sureau, baie, crue;0.0;0.66;11.4;0.5;38.0;1.6;36.0
Myrtille, surgelée, crue;0.0;0.42;8.9;0.64;7.0;0.29;1.75
Salade de fruits, crue;79.3;0.61;18.0;0.24;14.5;0.29;22.3
Framboise, surgelée, crue;0.0;1.0;7.0;0.5;29.9;0.78;24.5
Nectarine ou brugnon, jaune, chair et peau, sans noyau, crue;49.5;0.69;11.3;0.0;4.8;0.13;3.38
Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue;49.5;0.81;11.4;0.0;5.0;0.13;3.01
Mûre (de ronce), surgelée, crue;0.0;1.18;10.7;0.43;29.0;0.8;3.1
Pomelo (dit Pamplemousse) jaune, chair sans peau, sans pépins, cru;0.0;0.69;7.31;0.1;12.0;0.06;33.3
Pomelo (dit Pamplemousse) rose, chair sans peau, sans pépins, cru;0.0;0.77;6.2;0.14;22.0;0.08;31.2
Poire Conférence, chair sans peau, crue;49.1;0.25;11.4;0.0;3.9;0.09;1.39
Poire Williams, chair sans peau, crue;50.2;0.25;11.5;0.0;6.1;0.07;2.57
Pomme Chantecler, chair sans peau, crue;47.2;0.25;11.2;0.0;4.0;0.06;2.85
